# gapseq version: 1.2 54b56c7c
# Sequence DB md5sum:  (, Bacteria)
# Genome format: nucl
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	0	3	0	0	
|ARGSPECAT-PWY|	spermine biosynthesis	false	0	2	0	0	
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	false	0	9	0	0	
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	false	0	1	0	0	
|ASPARAGINE-DEG1-PWY-1|	L-asparagine degradation III (mammalian)	false	0	3	0	0	
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	false	0	1	0	0	
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	false	0	1	0	0	
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	false	0	1	0	0	
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	false	0	1	0	0	
|ASPSYNII-PWY|	cyanide detoxification I	false	0	3	0	0	
|AST-PWY|	L-arginine degradation II (AST pathway)	false	0	5	0	0	
|BETA-ALA-DEGRADATION-I-PWY|	&beta;-alanine degradation I	false	0	2	0	0	
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	false	0	2	0	0	
|BGALACT-PWY|	lactose degradation III	false	0	1	0	0	
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	false	0	2	0	0	
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	0	13	0	0	
|CAMALEXIN-SYN|	camalexin biosynthesis	false	0	11	0	0	
|CARNMET-PWY|	L-carnitine degradation I	false	0	4	0	0	
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	0	4	0	0	
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	0	7	0	0	
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	0	7	0	0	
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	0	8	0	0	
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	false	0	2	0	0	
|CITRULBIO-PWY|	L-citrulline biosynthesis	false	0	7	0	0	
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	0	2	0	0	
|CO2FORM-PWY|	methanogenesis from methanol	false	0	2	0	0	
|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	false	0	4	0	0	
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	0	9	0	0	
|CRNFORCAT-PWY|	creatinine degradation I	false	0	4	0	0	
|CYANCAT-PWY|	cyanate degradation	false	0	2	0	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	false	0	5	0	0	
|CYSTEINE-DEG-PWY|	L-cysteine degradation I	false	0	2	0	0	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	false	0	2	0	0	
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	false	0	9	0	0	
|DARABCATK12-PWY|	D-arabinose degradation I	false	0	2	0	0	
|DARABCAT-PWY|	D-arabinose degradation II	false	0	2	0	0	
|DARABITOLUTIL-PWY|	D-arabitol degradation	false	50	1	0	0	XYLULOKIN-RXN 
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	0	5	0	0	
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	false	0	2	0	0	
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	0	4	0	0	
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	0	4	0	0	
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	false	0	4	0	0	
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	false	0	2	0	0	
|ETHYL-PWY|	ethene biosynthesis I (plants)	false	0	3	0	0	
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	0	2	0	0	
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	false	0	7	0	0	
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	false	0	5	0	0	
|FERMENTATION-PWY|	mixed acid fermentation	false	12	14	0	0	ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	0	7	0	0	
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	false	0	1	0	0	
|FUCCAT-PWY|	fucose degradation	false	0	2	0	0	
|GALACTARDEG-PWY|	D-galactarate degradation I	false	0	4	0	0	
|GALACTCAT-PWY|	D-galactonate degradation	false	0	3	0	0	
|GALACTITOLCAT-PWY|	galactitol degradation	false	0	4	0	0	
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	0	5	0	0	
|GALDEG-PWY|	D-galactose degradation II	false	0	2	0	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	false	0	3	0	0	
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	0	4	0	0	
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	0	8	0	0	
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	false	0	2	0	0	
|GLNSYN-PWY|	L-glutamine biosynthesis I	false	0	1	0	0	
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	false	0	1	0	0	
|GLUCARDEG-PWY|	D-glucarate degradation I	false	0	4	0	0	
|GLUCONEO-PWY|	gluconeogenesis I	false	0	13	0	0	
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	1	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	0	4	0	0	
|GLUGLNSYN-PWY|	L-glutamate biosynthesis IV	false	0	1	0	0	
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	false	0	1	0	0	
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	false	0	1	0	0	
|GLUTAMINDEG-PWY|	L-glutamine degradation I	false	0	1	0	0	
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	false	0	1	0	0	
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	false	0	2	0	0	
|GLUTDEG-PWY|	L-glutamate degradation II	false	0	2	0	0	
|GLUTORN-PWY|	L-ornithine biosynthesis I	false	0	5	0	0	
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	1	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	false	0	1	0	0	
|GLUTSYN-PWY|	L-glutamate biosynthesis I	false	0	2	0	0	
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	0	2	0	0	
|GLYCGREAT-PWY|	creatine biosynthesis	false	0	2	0	0	
|GLYCINE-SYN2-PWY|	glycine biosynthesis II	false	0	3	0	0	
|GLYCLEAV-PWY|	glycine cleavage	false	0	3	0	0	
|GLYCOCAT-PWY|	glycogen degradation I	false	0	8	0	0	
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	false	0	4	0	0	
|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	false	0	3	0	0	
|GLYCOLYSIS|	glycolysis I (from glucose 6-phosphate)	false	0	12	0	0	
|GLYOXDEG-PWY|	glycolate and glyoxylate degradation II	false	0	1	0	0	
|GLYOXYLATE-BYPASS|	glyoxylate cycle	false	33	4	0	0	ACONITATEHYDR-RXN ACONITATEDEHYDR-RXN 
|GLYSYN-ALA-PWY|	glycine biosynthesis III	false	0	1	0	0	
|GLYSYN-PWY|	glycine biosynthesis I	false	0	1	0	0	
|GLYSYN-THR-PWY|	glycine biosynthesis IV	false	0	1	0	0	
|HCAMHPDEG-PWY|	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	false	0	5	0	0	
|HEME-BIOSYNTHESIS-II-1|	heme b biosynthesis V (aerobic)	false	25	3	1	1	RXN-21483 
|HEME-BIOSYNTHESIS-II|	heme b biosynthesis I (aerobic)	false	0	3	0	0	
|HEMESYN2-PWY|	heme b biosynthesis II (oxygen-independent)	false	25	3	0	0	RXN0-6259 
|HEXPPSYN-PWY|	hexaprenyl diphosphate biosynthesis	false	0	1	0	0	
|HISDEG-PWY|	L-histidine degradation I	false	0	4	0	0	
|HISHP-PWY|	L-histidine degradation VI	false	0	4	0	0	
|HISTDEG-PWY|	L-histidine degradation IV	false	0	2	0	0	
|HISTSYN-PWY|	L-histidine biosynthesis	false	30	7	0	0	HISTIDPHOS-RXN PRIBFAICARPISOM-RXN ATPPHOSPHORIBOSYLTRANS-RXN 
|HOMOCYSDEGR-PWY|	L-cysteine biosynthesis III (from L-homocysteine)	false	0	2	0	0	
|HOMOSER-METSYN-PWY|	L-methionine biosynthesis I	false	0	5	0	0	
|HOMOSERSYN-PWY|	L-homoserine biosynthesis	false	0	3	0	0	
|HOMOSER-THRESYN-PWY|	L-threonine biosynthesis	false	0	2	0	0	
|HYDROXYPRODEG-PWY|	trans-4-hydroxy-L-proline degradation I	false	0	4	0	0	
|IDNCAT-PWY|	L-idonate degradation	false	0	3	0	0	
|ILEUDEG-PWY|	L-isoleucine degradation I	false	0	6	0	0	
|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	0	5	0	0	
|KDO-LIPASYN-PWY|	(Kdo)2-lipid A biosynthesis I (E. coli)	false	0	2	0	0	
|KDOSYN-PWY|	Kdo transfer to lipid IVA I (E. coli)	false	0	2	0	0	
|LACTOSECAT-PWY|	lactose and galactose degradation I	false	0	4	0	0	
|LACTOSEUTIL-PWY|	lactose degradation II	false	0	3	0	0	
|LARABITOLUTIL-PWY|	xylitol degradation	false	50	1	0	0	XYLULOKIN-RXN 
|LCYSDEG-PWY|	L-cysteine degradation II	false	0	1	0	0	
|LEU-DEG2-PWY|	L-leucine degradation I	false	0	6	0	0	
|LEUSYN-PWY|	L-leucine biosynthesis	false	0	5	0	0	
|LIPA-CORESYN-PWY|	lipid A-core biosynthesis (E. coli K-12)	false	0	11	0	0	
|LIPAS-PWY|	triacylglycerol degradation	false	0	3	0	0	
|LIPASYN-PWY|	phospholipases	false	0	5	0	0	
|LYSDEGII-PWY|	L-lysine degradation III	false	0	6	0	0	
|LYSINE-AMINOAD-PWY|	L-lysine biosynthesis IV	false	0	8	0	0	
|LYSINE-DEG1-PWY|	L-lysine degradation XI (mammalian)	false	0	5	0	0	
|LYXMET-PWY|	L-lyxose degradation	false	0	4	0	0	
|MALATE-ASPARTATE-SHUTTLE-PWY|	malate/L-aspartate shuttle pathway	false	0	2	0	0	
|MALTOSECAT-PWY|	maltose degradation	false	0	2	0	0	
|MANNCAT-PWY|	D-mannose degradation I	false	0	2	0	0	
|MANNIDEG-PWY|	mannitol degradation I	false	0	1	0	0	
|MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS|	protein N-glycosylation initial phase (eukaryotic)	false	0	19	0	0	
|M-CRESOL-DEGRADATION-PWY|	m-cresol degradation	false	0	5	0	0	
|MENAQUINONESYN-PWY|	menaquinol-8 biosynthesis	false	0	1	0	0	
|METH-ACETATE-PWY|	methanogenesis from acetate	false	0	6	0	0	
|METHANOGENESIS-PWY|	methanogenesis from H2 and CO2	false	0	6	0	0	
|METHFORM-PWY|	methyl-coenzyme M reduction to methane	false	0	1	0	0	
|METHIONINE-DEG1-PWY|	L-methionine degradation I (to L-homocysteine)	false	0	3	0	0	
|METHYLGALLATE-DEGRADATION-PWY|	methylgallate degradation	false	0	5	0	0	
|MGLDLCTANA-PWY|	methylglyoxal degradation VI	false	0	4	0	0	
|N2FIX-PWY|	nitrogen fixation I (ferredoxin)	false	0	1	0	0	
|NAD-BIOSYNTHESIS-III|	NAD biosynthesis III (from nicotinamide)	false	0	2	0	0	
|NAD-BIOSYNTHESIS-II|	NAD salvage pathway III (to nicotinamide riboside)	false	0	3	0	0	
|NADPHOS-DEPHOS-PWY-1|	NAD phosphorylation and transhydrogenation	false	0	2	0	0	
|NAGLIPASYN-PWY|	lipid IVA biosynthesis (E. coli)	false	0	6	0	0	
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	false	0	9	0	0	
|NONOXIPENT-PWY|	pentose phosphate pathway (non-oxidative branch) I	false	0	5	0	0	
|NOPALINEDEG-PWY|	nopaline degradation	false	0	1	0	0	
|NPGLUCAT-PWY|	Entner-Doudoroff pathway II (non-phosphorylative)	false	0	8	0	0	
|OCTOPINEDEG-PWY|	octopine degradation	false	0	1	0	0	
|ORN-AMINOPENTANOATE-CAT-PWY|	L-ornithine degradation I (L-proline biosynthesis)	false	0	1	0	0	
|OXIDATIVEPENT-PWY|	pentose phosphate pathway (oxidative branch) I	false	0	3	0	0	
|P101-PWY|	ectoine biosynthesis	false	0	5	0	0	
|P105-PWY|	TCA cycle IV (2-oxoglutarate decarboxylase)	false	22	7	0	0	ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN 
|P108-PWY|	pyruvate fermentation to propanoate I	false	0	7	0	0	
|P121-PWY|	adenine and adenosine salvage I	false	0	2	0	0	
|P122-PWY|	heterolactic fermentation	false	0	18	0	0	
|P124-PWY|	Bifidobacterium shunt	false	0	15	0	0	
|P141-PWY|	atrazine degradation I (aerobic)	false	0	3	0	0	
|P161-PWY|	acetylene degradation (anaerobic)	false	0	5	0	0	
|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	false	10	9	0	0	R11-RXN 
|P163-PWY|	L-lysine fermentation to acetate and butanoate	false	0	10	0	0	
|P164-PWY|	purine nucleobases degradation I (anaerobic)	false	0	14	0	0	
|P181-PWY|	nicotine degradation I (pyridine pathway)	false	0	14	0	0	
|P183-PWY|	catechol degradation to 2-hydroxypentadienoate I	false	0	2	0	0	
|P184-PWY|	protocatechuate degradation I (meta-cleavage pathway)	false	0	6	0	0	
|P185-PWY|	formaldehyde assimilation III (dihydroxyacetone cycle)	false	0	12	0	0	
|P201-PWY|	nitroglycerin degradation	false	0	5	0	0	
|P203-PWY|	sulfur disproportionation I (anaerobic)	false	0	1	0	0	
|P21-PWY|	pentose phosphate pathway (partial)	false	0	3	0	0	
|P221-PWY|	octane oxidation	false	0	5	0	0	
|P222-PWY|	sulfide oxidation I (to sulfur globules)	false	0	1	0	0	
|P23-PWY|	reductive TCA cycle I	false	16	10	0	0	ACONITATEHYDR-RXN ACONITATEDEHYDR-RXN 
|P241-PWY|	coenzyme B biosynthesis	false	0	15	0	0	
|P261-PWY|	coenzyme M biosynthesis I	false	0	7	0	0	
|P282-PWY|	nitrite oxidation	false	0	1	0	0	
|P283-PWY|	hydrogen oxidation I (aerobic)	false	0	1	0	0	
|P2-PWY|	citrate lyase activation	false	0	5	0	0	
|P301-PWY|	galena oxidation	false	0	1	0	0	
|P302-PWY|	L-sorbose degradation	false	0	2	0	0	
|P303-PWY|	ammonia oxidation II (anaerobic)	false	0	3	0	0	
|P321-PWY|	benzoyl-CoA degradation III (anaerobic)	false	0	9	0	0	
|P341-PWY|	glycolysis V (Pyrococcus)	false	0	10	0	0	
|P342-PWY|	orcinol degradation	false	0	4	0	0	
|P343-PWY|	resorcinol degradation	false	0	3	0	0	
|P345-PWY|	aldoxime degradation	false	0	3	0	0	
|P3-PWY|	gallate degradation III (anaerobic)	false	18	7	0	0	R8-RXN R11-RXN 
|P401-PWY|	cyanide degradation	false	0	1	0	0	
|P421-PWY|	4-nitrotoluene degradation I	false	0	3	0	0	
|P42-PWY|	incomplete reductive TCA cycle	false	0	7	0	0	
|P481-PWY|	adamantanone degradation	false	0	4	0	0	
|P482-PWY|	arsonoacetate degradation	false	0	2	0	0	
|P483-PWY|	phosphonoacetate degradation	false	0	1	0	0	
|P541-PWY|	glycine betaine biosynthesis IV (from glycine)	false	0	3	0	0	
|P561-PWY|	proline betaine degradation I	false	0	3	0	0	
|P562-PWY|	myo-inositol degradation I	false	0	7	0	0	
|P581-PWY|	thiocyanate degradation I	false	0	1	0	0	
|P601-PWY|	(+)-camphor degradation	false	0	6	0	0	
|P621-PWY|	nylon-6 oligomer degradation	false	0	6	0	0	
|P641-PWY|	phenylmercury acetate degradation	false	0	2	0	0	
|P661-PWY|	dibenzo-p-dioxin degradation	false	0	3	0	0	
|P662-PWY|	dibenzofuran degradation	false	0	3	0	0	
|PANTO-PWY|	phosphopantothenate biosynthesis I	false	0	4	0	0	
|PARATHION-DEGRADATION-PWY|	parathion degradation	false	0	2	0	0	
|PCEDEG-PWY|	tetrachloroethene degradation	false	0	4	0	0	
|PCPDEG-PWY|	pentachlorophenol degradation	false	0	9	0	0	
|PHENOLDEG-PWY|	phenol degradation II (anaerobic)	false	0	4	0	0	
|PHENYLALANINE-DEG1-PWY|	L-phenylalanine degradation I (aerobic)	false	0	1	0	0	
|PHESYN|	L-phenylalanine biosynthesis I	false	33	2	0	0	CHORISMATEMUT-RXN 
|PHOSPHONOTASE-PWY|	2-aminoethylphosphonate degradation I	false	0	3	0	0	
|PLPSAL-PWY|	pyridoxal 5'-phosphate salvage I	false	0	5	0	0	
|PPGPPMET-PWY|	ppGpp metabolism	false	0	6	0	0	
|PROPIONMET-PWY|	propanoyl CoA degradation I	false	0	3	0	0	
|PROSYN-PWY|	L-proline biosynthesis I (from L-glutamate)	false	0	3	0	0	
|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|	protocatechuate degradation II (ortho-cleavage pathway)	false	0	4	0	0	
|PROUT-PWY|	L-proline degradation I	false	0	2	0	0	
|PUTDEG-PWY|	putrescine degradation I	false	0	2	0	0	
|PWY0-1021|	L-alanine biosynthesis III	false	0	1	0	0	
|PWY0-1182|	trehalose degradation II (cytosolic)	false	0	2	0	0	
|PWY0-1221|	putrescine degradation II	false	0	4	0	0	
|PWY0-1241|	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	false	0	5	0	0	
|PWY0-1261|	anhydromuropeptides recycling I	false	0	11	0	0	
|PWY0-1264|	biotin-carboxyl carrier protein assembly	false	0	3	0	0	
|PWY0-1275|	lipoate biosynthesis and incorporation II	false	0	2	0	0	
|PWY0-1280|	ethylene glycol degradation	false	0	2	0	0	
|PWY0-1295|	pyrimidine ribonucleosides degradation	false	0	2	0	0	
|PWY0-1296|	purine ribonucleosides degradation	false	0	6	0	0	
|PWY0-1299|	arginine dependent acid resistance	false	0	1	0	0	
|PWY0-1300|	2-O-&alpha;-mannosyl-D-glycerate degradation	false	0	2	0	0	
|PWY0-1301|	melibiose degradation	false	0	1	0	0	
|PWY0-1303|	aminopropylcadaverine biosynthesis	false	0	2	0	0	
|PWY0-1305|	L-glutamate degradation IX (via 4-aminobutanoate)	false	0	1	0	0	
|PWY0-1306|	L-galactonate degradation	false	0	1	0	0	
|PWY0-1309|	chitobiose degradation	false	0	2	0	0	
|PWY0-1312|	acetate and ATP formation from acetyl-CoA I	false	0	2	0	0	
|PWY0-1313|	acetate conversion to acetyl-CoA	false	0	1	0	0	
|PWY0-1314|	fructose degradation	false	0	1	0	0	
|PWY0-1315|	L-lactaldehyde degradation (anaerobic)	false	0	1	0	0	
|PWY0-1317|	L-lactaldehyde degradation (aerobic)	false	0	2	0	0	
|PWY0-1319|	CDP-diacylglycerol biosynthesis II	false	0	4	0	0	
|PWY0-1321|	nitrate reduction III (dissimilatory)	false	0	2	0	0	
|PWY0-1324|	N-acetylneuraminate and N-acetylmannosamine degradation I	false	0	2	0	0	
|PWY0-1329|	succinate to cytochrome bo oxidase electron transfer	false	0	2	0	0	
|PWY0-1334|	NADH to cytochrome bd oxidase electron transfer I	false	0	2	0	0	
|PWY0-1335|	NADH to cytochrome bo oxidase electron transfer I	false	0	2	0	0	
|PWY0-1336|	NADH to fumarate electron transfer	false	0	2	0	0	
|PWY0-1337|	oleate &beta;-oxidation	false	0	35	0	0	
|PWY0-1338|	polymyxin resistance	false	0	6	0	0	
|PWY0-1347|	NADH to trimethylamine N-oxide electron transfer	false	0	2	0	0	
|PWY0-1348|	NADH to dimethyl sulfoxide electron transfer	false	0	2	0	0	
|PWY0-1352|	nitrate reduction VIII (dissimilatory)	false	0	2	0	0	
|PWY0-1353|	succinate to cytochrome bd oxidase electron transfer	false	0	2	0	0	
|PWY0-1355|	formate to trimethylamine N-oxide electron transfer	false	0	2	0	0	
|PWY0-1356|	formate to dimethyl sulfoxide electron transfer	false	0	2	0	0	
|PWY0-1391|	S-methyl-5'-thioadenosine degradation IV	false	0	1	0	0	
|PWY0-1433|	tetrahydromonapterin biosynthesis	false	0	4	0	0	
|PWY0-1465|	D-malate degradation	false	0	1	0	0	
|PWY0-1466|	trehalose degradation VI (periplasmic)	false	0	1	0	0	
|PWY0-1471|	uracil degradation III	false	0	3	0	0	
|PWY0-1477|	ethanolamine utilization	false	0	5	0	0	
|PWY0-1479|	tRNA processing	false	0	10	0	0	
|PWY0-1507|	biotin biosynthesis from 8-amino-7-oxononanoate I	false	0	4	0	0	
|PWY0-1517|	sedoheptulose bisphosphate bypass	false	0	2	0	0	
|PWY0-1527|	curcumin degradation	false	0	2	0	0	
|PWY0-1533|	methylphosphonate degradation I	false	0	4	0	0	
|PWY0-1535|	D-serine degradation	false	0	1	0	0	
|PWY0-1544|	proline to cytochrome bo oxidase electron transfer	false	0	2	0	0	
|PWY0-1545|	cardiolipin biosynthesis III	false	0	3	0	0	
|PWY0-1546|	muropeptide degradation	false	0	4	0	0	
|PWY0-1554|	5-(methoxycarbonylmethoxy)uridine biosynthesis	false	0	3	0	0	
|PWY0-1561|	glycerol-3-phosphate to cytochrome bo oxidase electron transfer	false	0	2	0	0	
|PWY0-1565|	D-lactate to cytochrome bo oxidase electron transfer	false	0	2	0	0	
|PWY0-1567|	NADH to cytochrome bo oxidase electron transfer II	false	0	2	0	0	
|PWY0-1568|	NADH to cytochrome bd oxidase electron transfer II	false	0	2	0	0	
|PWY0-1569|	autoinducer AI-2 degradation	false	0	3	0	0	
|PWY0-1573|	nitrate reduction VIIIb (dissimilatory)	false	0	2	0	0	
|PWY0-1576|	hydrogen to fumarate electron transfer	false	0	2	0	0	
|PWY0-1577|	hydrogen to dimethyl sulfoxide electron transfer	false	0	2	0	0	
|PWY0-1578|	hydrogen to trimethylamine N-oxide electron transfer	false	0	2	0	0	
|PWY0-1581|	nitrate reduction IX (dissimilatory)	false	0	2	0	0	
|PWY0-1582|	glycerol-3-phosphate to fumarate electron transfer	false	0	2	0	0	
|PWY0-1584|	nitrate reduction X (dissimilatory, periplasmic)	false	0	3	0	0	
|PWY0-1585|	formate to nitrite electron transfer	false	0	3	0	0	
|PWY0-1586|	peptidoglycan maturation (meso-diaminopimelate containing)	false	0	12	0	0	
|PWY0-1587|	N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis	false	0	2	0	0	
|PWY0-1590|	NADH to hydrogen peroxide electron transfer	false	0	2	0	0	
|PWY0-1591|	glycerol-3-phosphate to hydrogen peroxide electron transport	false	0	2	0	0	
|PWY0-1597|	prenylated FMNH2 biosynthesis	false	0	3	0	0	
|PWY0-1599|	periplasmic disulfide bond formation	false	0	3	0	0	
|PWY0-1600|	periplasmic disulfide bond reduction	false	0	2	0	0	
|PWY0-1601|	cadaverine biosynthesis	false	0	1	0	0	
|PWY0-1602|	D-gulosides conversion to D-glucosides	false	0	3	0	0	
|PWY0-301|	L-ascorbate degradation I (bacterial, anaerobic)	false	0	5	0	0	
|PWY0-321|	phenylacetate degradation I (aerobic)	false	0	9	0	0	
|PWY0-42|	2-methylcitrate cycle I	false	0	5	0	0	
|PWY0-43|	conversion of succinate to propanoate	false	0	3	0	0	
|PWY0-44|	D-allose degradation	false	0	3	0	0	
|PWY0-461|	L-lysine degradation I	false	0	7	0	0	
|PWY0-501|	lipoate biosynthesis and incorporation I	false	0	2	0	0	
|PWY0-521|	fructoselysine and psicoselysine degradation	false	0	3	0	0	
|PWY0-522|	lipoate salvage I	false	0	2	0	0	
|PWY0-541|	cyclopropane fatty acid (CFA) biosynthesis	false	0	1	0	0	
|PWY0-662|	PRPP biosynthesis	false	0	1	0	0	
|PWY0-823|	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	false	0	2	0	0	
|PWY0-862|	(5Z)-dodecenoate biosynthesis I	false	0	6	0	0	
|PWY0-901|	L-selenocysteine biosynthesis I (bacteria)	false	0	3	0	0	
|PWY0-981|	taurine degradation IV	false	0	1	0	0	
|PWY-0|	putrescine degradation III	false	0	4	0	0	
|PWY-1001|	cellulose biosynthesis	false	0	1	0	0	
|PWY-101|	photosynthesis light reactions	false	0	4	0	0	
|PWY-102|	gibberellin inactivation I (2&beta;-hydroxylation)	false	0	11	0	0	
|PWY-1042|	glycolysis IV	false	0	10	1	0	
|PWY-1061|	homogalacturonan biosynthesis	false	0	2	0	0	
