"","x"
"34","omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)"
"35","(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase"
"36","1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"
"37","digallate acylhydrolase"
"38","orsellinate-depside hydrolase"
"39","inosine:oxygen 5'-oxidoreductase"
"40","catechol:oxygen oxidoreductase"
"41","N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase"
"42","bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"
"43","1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase"
"44","R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase"
"45","6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"
"46","rxn00050"
"47","D-urobilinogen:oxygen oxidoreductase"
"48","thiamine-aldehyde:oxygen 5-oxidoreductase"
"49","Prostaglandin H2:oxygen oxidoreductase"
"50","2-aminophenol:oxygen oxidoreductase (dimerizing)"
"51","S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase"
"52","Fe(II):oxygen oxidoreductase"
"53","Catechol:oxygen oxidoreductase (dimerizing)"
"54","Ferrocytochrome-c:oxygen oxidoreductase"
"55","porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)"
"56","ATP diphosphohydrolase (phosphate-forming)"
"57","ATP phosphohydrolase"
"58","ATP diphosphohydrolase (diphosphate-forming)"
"59","ATP aminohydrolase"
"60","ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)"
"61","NADH:hydrogen-peroxide oxidoreductase"
"62","CoA:NAD+ oxidoreductase"
"63","Fe2+:NAD+ oxidoreductase"
"64","L-glutamate:NAD+ oxidoreductase (transaminating)"
"65","glutathione:NAD+ oxidoreductase"
"66","NADH:monodehydroascorbate oxidoreductase"
"67","NADH:cob(III)alamine oxidoreductase"
"68","cob(I)alamin:NAD+ oxidoreductase"
"69","NAD nucleosidase, mitochondrial"
"70","NAD+ phosphohydrolase"
"71","ATP:NAD+ 2'-phosphotransferase"
"72","ATP:NADH 2'-phosphotransferase"
"73","NADPH:ferricytochrome oxidoreductase"
"74","cob(II)alamin:NADP+ oxidoreductase"
"75","N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase"
"76","NADPH:NAD+ oxidoreductase"
"77","NADPH:hydrogen-peroxide oxidoreductase"
"78","L-Glutamate:NADP+ oxidoreductase (transaminating)"
"79","glutathione:NADP+ oxidoreductase"
"80","NADPH:CoA-glutathione oxidoreductase"
"81","NADP+ 2'-phosphohydrolase"
"82","NADP+ glycohydrolase"
"83","glutathione:oxygen oxidoreductase"
"84","ADP phosphohydrolase"
"85","ADP aminohydrolase"
"86","P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase"
"87","ADP:ATP adenylyltransferase"
"88","ATP:AMP phosphotransferase"
"89","Adenosine-tetraphosphate phosphohydrolase"
"90","(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)"
"91","ATP:dephospho-CoA 3'-phosphotransferase"
"92","Urea amidohydrolase"
"93","carbonate hydro-lyase (carbon-dioxide-forming)"
"94","formate:NADP+ oxidoreductase"
"95","polyphosphate kinase"
"96","ATP:nicotinamide-nucleotide adenylyltransferase"
"97","Triphosphate phosphohydrolase"
"98","ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase"
"99","ATP:5-hydroxymethyldeoxycytidylate phosphotransferase"
"100","ammonia:NAD+ oxidoreductase"
"101","Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)"
"102","ATP:carbamate phosphotransferase"
"103","UDP phosphohydrolase"
"104","ATP:UDP phosphotransferase"
"105","Uridine triphosphate:AMP phosphotransferase"
"106","ATP:UMP phosphotransferase"
"107","UTP phosphohydrolase"
"108","FAD nucleotidohydrolase"
"109","ATP:FMN adenylyltransferase"
"110","pyridoxal-5'-phosphate phosphohydrolase"
"111","ATP:pyridoxal 5'-phosphotransferase"
"112","S-Adenosyl-L-methionine hydrolase"
"113","ATP:L-methionine S-adenosyltransferase"
"114","S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]"
"115","S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)"
"116","S-Adenosyl-L-methionine alkyltransferase (cyclizing)"
"117","AMP aminohydrolase"
"118","AMP phosphoribohydrolase"
"119","Adenosine 5'-monophosphate phosphohydrolase"
"120","P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase"
"121","ATP:adenosine 5'-phosphotransferase"
"122","(S)-Lactate adenylohydrolase"
"123","P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"
"124","Adenosine 3',5'-bisphosphate 3'-phosphohydrolase"
"125","deamido-NAD+:ammonia ligase (AMP-forming)"
"126","AMP:diphosphate phospho-D-ribosyltransferase"
"127","adenosine 3',5'-phosphate 5'-nucleotidohydrolase"
"128","S-Adenosyl-L-homocysteine hydrolase"
"129","S-Adenosyl-L-homocysteine aminohydrolase"
"130","S-Adenosyl-L-homocysteine homocysteinylribohydrolase"
"131","2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)"
"132","(S)-Lactate:ferricytochrome-c 2-oxidoreductase"
"133","(R)-Lactate:ferricytochrome-c 2-oxidoreductase"
"134","ATP:pyruvate,water phosphotransferase"
"135","ATP:pyruvate 2-O-phosphotransferase"
"136","pyruvaldehyde:NAD+ oxidoreductase"
"137","2-Oxopropanal:NADP+ oxidoreductase"
"138","ATP:pyruvate,phosphate phosphotransferase"
"139","Pyruvate:oxygen 2-oxidoreductase (phosphorylating)"
"140","Phosphoenolpyruvate phosphohydrolase"
"141","pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)"
"142","pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)"
"143","pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)"
"144","Acetyl-CoA:formate C-acetyltransferase"
"145","O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)"
"146","(S)-malate:NAD+ oxidoreductase (decarboxylating)"
"147","(R)-Malate:NAD+ oxidoreductase (decarboxylating)"
"148","(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"
"149","oxaloacetate carboxy-lyase (pyruvate-forming)"
"150","acetylenedicarboxylate carboxy-lyase (pyruvate-forming)"
"151","2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)"
"152","L-serine ammonia-lyase"
"153","D-serine ammonia-lyase"
"154","pyruvate carboxy-lyase (acetaldehyde-forming)"
"155","Acetyl-CoA hydrolase"
"156","acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)"
"157","Acetate:CoA ligase (ADP-forming)"
"158","acetyl-CoA:phosphate acetyltransferase"
"159","malonyl-CoA carboxy-lyase (acetyl-CoA-forming)"
"160","Acetate:CoA ligase (AMP-forming)"
"161","acetyl adenylate:CoA acetyltransferase"
"162","(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)"
"163","Acetyl-CoA:acetyl-CoA C-acetyltransferase"
"164","ATP:L-glutamate 5-phosphotransferase"
"165","Glutamate 5-kinase"
"166","ATP:L-glutamate 1-phosphotransferase"
"167","L-glutamate:NAD+ oxidoreductase (deaminating)"
"168","L-Glutamate 5-semialdehyde:NAD+ oxidoreductase"
"169","L-Glutamate:NADP+ oxidoreductase (deaminating)"
"170","L-Glutamate:oxygen oxidoreductase (deaminating)"
"171","5-oxo-L-proline amidohydrolase (ATP-hydrolysing)"
"172","L-Glutamate:ammonia ligase (ADP-forming)"
"173","N-carbamyl-L-glutamate amidohydrolase"
"174","L-Glutamine amidohydrolase"
"175","Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)"
"176","L-Alanine:2-oxoglutarate aminotransferase"
"177","acetyl-CoA:L-glutamate N-acetyltransferase"
"178","glutamate racemase"
"179","L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)"
"180","L-threo-3-Methylaspartate carboxy-aminomethylmutase"
"181","2,5-dioxopentanoate:NADP+ 5-oxidoreductase"
"182","2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)"
"183","Isocitrate:NADP+ oxidoreductase (decarboxylating)"
"184","oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)"
"185","2-oxoglutaramate amidohydrolase"
"186","R00270"
"187","acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)"
"188","2-Oxoglutarate carboxy-lyase"
"189","oxalate:oxygen oxidoreductase"
"190","glutathione:hydrogen-peroxide oxidoreductase"
"191","superoxide:superoxide oxidoreductase"
"192","Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)"
"193","Pyridoxine 5-phosphate:oxygen oxidoreductase"
"194","D-Glutamate:oxygen oxidoreductase (deaminating)"
"195","UDP-glucose:NAD+ 6-oxidoreductase"
"196","UDP-glucose glucophosphohydrolase"
"197","UTP:alpha-D-glucose-1-phosphate uridylyltransferase"
"198","UDP-glucose 4-epimerase"
"199","UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)"
"200","ATP:D-glucose 6-phosphotransferase"
"201","D-Glucose:NAD+ 1-oxidoreductase"
"202","D-Glucose:NADP+ 1-oxidoreductase"
"203","D-glucose:oxygen 2-oxidoreductase"
"204","D-Glucose-6-phosphate phosphohydrolase"
"205","D-Glucose-1-phosphate phosphohydrolase"
"206","cellobiose glucohydrolase"
"207","D-glucose aldose-ketose-isomerase"
"208","protoheme ferro-lyase (protoporphyrin-forming)"
"209","ATP:acetate phosphotransferase"
"210","ATP:acetate adenylyltransferase"
"211","Acetyl phosphate phosphohydrolase"
"212","Phosphonoacetate phosphonohydrolase"
"213","(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)"
"214","diphosphate:acetate phosphotransferase"
"215","Acetamide amidohydrolase"
"216","5'-acetylphosphoadenosine acetylhydrolase"
"217","2,4-dioxopentanoate acetylhydrolase"
"218","(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)"
"219","6-Acetyl-D-glucose acetylhydrolase"
"220","GDP phosphohydrolase"
"221","ATP:GDP phosphotransferase"
"222","ATP:nucleoside-diphosphate phosphotransferase"
"223","ATP:GMP phosphotransferase"
"224","nucleoside-triphosphate:AMP phosphotransferase"
"225","GTP phosphohydrolase"
"226","guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase"
"227","GDP-glucose glucohydrolase"
"228","Oxaloacetate acetylhydrolase"
"229","(R,R)-tartrate hydro-lyase (oxaloacetate-forming)"
"230","ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)"
"231","(S)-malate:NAD+ oxidoreductase"
"232","(S)-malate:NADP+ oxidoreductase"
"233","Pyruvate:carbon-dioxide ligase (ADP-forming)"
"234","phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)"
"235","diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)"
"236","erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)"
"237","2-oxosuccinamate amidohydrolase"
"238","4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)"
"239","acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)"
"240","acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]"
"241","(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)"
"242","L-Aspartate:2-oxoglutarate aminotransferase"
"243","L-Aspartic acid:oxygen oxidoreductase (deaminating)"
"244","D-Aspartate:oxygen oxidoreductase (deaminating)"
"245","(S)-Malate:oxygen oxidoreductase"
"246","citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)"
"247","Oxaloacetate keto-enol-isomerase"
"248","Glycine:ferricytochrome-c oxidoreductase (deaminating)"
"249","glycine:NAD+ oxidoreductase (deaminating)"
"250","glycine:oxygen oxidoreductase (deaminating)"
"251","S-Adenosyl-L-methionine:glycine N-methyltransferase"
"252","N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)"
"253","L-Alanine:glyoxylate aminotransferase"
"254","Acetyl-CoA:glycine C-acetyltransferase"
"255","Acetyl-CoA:glycine C-acetyltransferase"
"256","Glycine:2-oxoglutarate aminotransferase"
"257","Glycine:oxaloacetate aminotransferase"
"258","L-Alanine:NAD+ oxidoreductase (deaminating)"
"259","L-aspartate 4-carboxy-lyase (L-alanine-forming)"
"260","2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)"
"261","rxn00281"
"262","L-alanine:oxaloacetate aminotransferase"
"263","alanine racemase"
"264","succinate:NAD+ oxidoreductase"
"265","Succinate:CoA ligase (ADP-forming)"
"266","succinyl-CoA:malate CoA-transferase"
"267","Succinyl-CoA hydrolase"
"268","Succinate:(acceptor) oxidoreductase"
"269","(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)"
"270","succinyl-CoA:acetoacetate CoA-transferase"
"271","N-succinyl-L-glutamate amidohydrolase"
"272","UDP-N-acetyl-D-glucosamine 2-epimerase"
"273","UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase"
"274","UDP-N-acetyl-D-glucosamine 4-epimerase"
"275","UDP-N-acetyl-D-glucosamine 2-epimerase"
"276","UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase"
"277","GTP 7,8-8,9-dihydrolase"
"278","GTP 7,8-8,9-dihydrolase (diphosphate-forming)"
"279","GTP diphosphohydrolase (diphosphate-forming)"
"280","GTP 8,9-hydrolase"
"281","ATP:GTP 3'-diphosphotransferase"
"282","GTP:pyruvate 2-O-phosphotransferase"
"283","GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming)"
"284","Succinate:CoA ligase (GDP-forming)"
"285","GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"
"286","L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)"
"287","L-Lysine:NAD+ 6-oxidoreductase (deaminating)"
"288","L-lysine:oxygen 2-oxidoreductase (deaminating)"
"289","L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)"
"290","L-Lysine:oxygen 2-oxidoreductase (decarboxylating)"
"291","meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)"
"292","N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)"
"293","L-Lysine:pyruvate aminotransferase"
"294","acetyl-CoA:L-lysine N6-acetyltransferase"
"295","L-Lysine:2-oxoglutarate 6-aminotransferase"
"296","N6-acetyl-L-lysine amidohydrolase"
"297","rxn00319"
"298","lysine racemase"
"299","L-Lysine 2,3-aminomutase"
"300","L-lysine carboxy-lyase (cadaverine-forming)"
"301","L-Lysine-1,6-lactam lactamhydrolase"
"302","glycolate:NADP+ oxidoreductase"
"303","Glyoxylate:oxygen oxidoreductase"
"304","Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)"
"305","(S)-ureidoglycolate amidohydrolase (decarboxylating)"
"306","4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)"
"307","acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"
"308","(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)"
"309","2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating)"
"310","Glycolate:oxygen 2-oxidoreductase"
"311","3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)"
"312","erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)"
"313","isocitrate glyoxylate-lyase (succinate-forming)"
"314","ATP:L-aspartate 4-phosphotransferase"
"315","L-aspartate:oxygen oxidoreductase"
"316","L-Aspartate:ammonia ligase (ADP-forming)"
"317","L-aspartate:ammonia ligase (AMP-forming)"
"318","N-Carbamoyl-L-aspartate amidohydrolase"
"319","L-Asparagine amidohydrolase"
"320","3-Cyano-L-alanine aminohydrolase"
"321","Acetyl-CoA:L-aspartate N-acetyltransferase"
"322","N-Acetyl-L-aspartate amidohydrolase"
"323","L-aspartate 1-carboxy-lyase (beta-alanine-forming)"
"324","L-Aspartate ammonia-lyase"
"325","aspartate racemase"
"326","glutathione gamma-glutamylaminopeptidase"
"327","gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)"
"328","S-Succinylglutathione hydrolase"
"329","UDP-D-galactose:NAD+ 6-oxidoreductase"
"330","UTP:alpha-D-galactose-1-phosphate uridylyltransferase"
"331","UDP-galactose:D-glucose 4-beta-D-galactosyltransferase"
"332","UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase"
"333","UDP-D-galactopyranose furanomutase"
"334","3'-phosphoadenylyl-sulfate sulfohydrolase"
"335","3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase"
"336","ATP:adenylylsulfate 3'-phosphotransferase"
"337","Cytidine-5'-monophosphate phosphoribohydrolase"
"338","Cytidine-5'-monophosphate phosphohydrolase"
"339","ATP:CMP phosphotransferase"
"340","ATP:cytidine 5'-phosphotransferase"
"341","CDP phosphohydrolase"
"342","CTP diphosphohydrolase (diphosphate-forming)"
"343","UTP:cytidine 5'-phosphotransferase"
"344","GTP:cytidine 5'-phosphotransferase"
"345","ATP:formate phosphotransferase"
"346","Formate:NAD+ oxidoreductase"
"347","Formyl-CoA hydrolase"
"348","Oxalate carboxy-lyase"
"349","Formamide amidohydrolase"
"350","N-Formyl-L-glutamate amidohydrolase"
"351","N-Formyl-L-aspartate amidohydrolase"
"352","S-Formylglutathione hydrolase"
"353","Sulfite:ferricytochrome-c oxidoreductase"
"354","ATP:sulfate adenylyltransferase"
"355","ADP:sulfate adenylyltransferase"
"356","Adenylylsulfate sulfohydrolase"
"357","L-Serine-O-sulfate ammonia-lyase (pyruvate-forming)"
"358","Sulfite:oxygen oxidoreductase"
"359","D-Glucose 6-sulfate sulfohydrolase"
"360","3'-Phosphoadenylylsulfate:17beta-estradiol 3-sulfotransferase"
"361","3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase"
"362","3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase"
"363","Nitrile aminohydrolase"
"364","N-Acyl-L-aspartate amidohydrolase"
"365","riboflavin-5-phosphate phosphohydrolase (acid optimum)"
"366","ATP:riboflavin 5'-phosphotransferase"
"367","D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase"
"368","L-Arginine amidinohydrolase"
"369","L-Arginine iminohydrolase"
"370","ATP:L-arginine Nomega-phosphotransferase"
"371","NAD+:L-arginine ADP-D-ribosyltransferase"
"372","ARG-OXIDATION-RXN.c"
"373","L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)"
"374","L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)"
"375","L-Arginine:oxygen 2-oxidoreductase (decarboxylating)"
"376","N2-(D-1-carboxyethyl)-L-arginine:NAD+ oxidoreductase (L-arginine-forming)"
"377","N2-(D-1,3-dicarboxypropyl)-L-arginine:NADP+ oxidoreductase (L-arginine-forming)"
"378","L-Arginine:glycine amidinotransferase"
"379","L-arginine carboxy-lyase (agmatine-forming)"
"380","arginine racemase"
"381","CTP aminohydrolase"
"382","CTP phosphohydrolase"
"383","ATP:CDP phosphotransferase"
"384","UTP:ammonia ligase (ADP-forming)"
"385","CTP:pyruvate 2-O-phosphotransferase"
"386","UTP:L-glutamine amido-ligase (ADP-forming)"
"387","CTP diphosphate-lyase (cyclizing; 3',5'-cyclic-CMP-forming)"
"388","hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"
"389","L-Glutamine:pyruvate aminotransferase"
"390","L-aspartate:L-glutamine amido-ligase (AMP-forming)"
"391","glutamine racemase"
"392","ENTF-RXN.c"
"393","L-serine:NAD+ oxidoreductase (deaminating)"
"394","O-phospho-L-serine phosphohydrolase"
"395","diphosphate:L-serine O-phosphotransferase"
"396","L-Serine:pyruvate aminotransferase"
"397","acetyl-CoA:L-serine O-acetyltransferase"
"398","L-Serine:glyoxylate aminotransferase"
"399","serine racemase"
"400","L-Serine hydro-lyase"
"401","methanol:hydrogen-peroxide oxidoreductase"
"402","dichloromethane chloride-lyase (adding H2O; chloride-hydrolysing; formaldehyde-forming)"
"403","Formaldehyde:NAD+ oxidoreductase"
"404","methanol:NAD+ oxidoreductase"
"405","Methylamine:(acceptor) oxidoreductase (deaminating)"
"406","Methanol:oxygen oxidereductase"
"407","sarcosine:oxygen oxidoreductase (demethylating)"
"408","N6-Methyl-L-lysine:oxygen oxidoreductase (demethylating)"
"409","Formaldehyde:formaldehyde oxidoreductase"
"410","Thiamin diphosphate phosphohydrolase"
"411","ATP:thiamine-diphosphate phosphotransferase"
"412","ATP:thiamin-phosphate phosphotransferase"
"413","Thiamin-triphosphate phosphohydrolase"
"414","ATP:thiamine diphosphotransferase"
"415","R00621"
"416","alpha-ketoglutarate decarboxylase"
"417","L-Galactono-1,4-lactone:ferricytochrome-c oxidoreductase"
"418","L-ascorbate:hydrogen-peroxide oxidoreductase"
"419","L-Galactono-1,4-lactone:oxygen 3-oxidoreductase"
"420","R00646"
"421","R00647"
"422","L-Methionine:oxygen oxidoreductase (deaminating)"
"423","S-Adenosyl-L-methionine:L-methionine S-methyltransferase"
"424","S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase"
"425","O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase"
"426","L-Methionine:glyoxylate aminotransferase"
"427","N-Formyl-L-methionine amidohydrolase"
"428","L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)"
"429","methionine racemase"
"430","L-methionine carboxy-lyase (3-methylthiopropanamine-forming)"
"431","2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)"
"432","UTP:pyruvate 2-O-phosphotransferase"
"433","Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase"
"434","phosphoenolpyruvate 2,3-phosphonomutase"
"435","Uridine triphosphate pyrophosphohydrolase"
"436","Bezoyl-CoA:L-ornithine N-benzoyltransferase"
"437","L-Citrulline N5-carbamoyldihydrolase"
"438","N5-(L-1-carboxyethyl)-L-ornithine:NADP+ oxidoreductase (L-ornithine-dorming)"
"439","L-Ornithine:2-oxo-acid aminotransferase"
"440","L-ornithine:2-oxoglutarate aminotransferase"
"441","N2-Acetyl-L-ornithine amidohydrolase"
"442","L-ornithine carboxy-lyase (putrescine-forming)"
"443","L-ornithine ammonia-lyase (cyclizing; L-proline-forming)"
"444","ornithine racemase"
"445","L-tryptophan indole-lyase (deaminating; pyruvate-forming)"
"446","L-serine hydro-lyase (adding indole; L-tryptophan-forming)"
"447","L-Tryptophan:NAD+ oxidoreductase (deaminating)"
"448","L-Tryptophan:NADP+ oxidoreductase (deaminating)"
"449","L-Tryptophan:oxygen oxidoreductase (deaminating)"
"450","L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)"
"451","L-tryptophan:oxygen 2-oxidoreductase (decarboxylating)"
"452","L-Tryptophan:oxygen 2'-oxidoreductase (side-chain-cleaving)"
"453","L-Tryptophanamide amidohydrolase"
"454","S-Adenosyl-L-methionine:L-tryptophan N-methyltransferase"
"455","L-Tryptophan:2-oxoglutarate aminotransferase"
"456","L-Tryptophan decarboxy-lyase"
"457","L-Phenylalanine racemase (ATP-hydrolysing)"
"458","ATP:L-phenylalanine adenylyltransferase"
"459","L-phenylalanine:NAD+ oxidoreductase (deaminating)"
"460","L-Phenylalanine:oxygen oxidoreductase (deaminating)"
"461","L-Phenylalanine:oxygen 2-oxidoreductase (decarboxylating)"
"462","L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)"
"463","L-phenylalanine:pyruvate aminotransferase"
"464","Acetyl-CoA:L-phenylalanine N-acetyltransferase"
"465","L-Phenylalanine:2-oxoglutarate aminotransferase"
"466","L-Aspartate:phenylpyruvate aminotransferase"
"467","L-phenylalanine ammonia-lyase (trans-cinnamate-forming)"
"468","L-phenylalanine carboxy-lyase (phenylethylamine-forming)"
"469","farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase"
"470","(S)-Lactate:NAD+ oxidoreductase"
"471","(R)-Lactate:NAD+ oxidoreductase"
"472","3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)"
"473","3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)"
"474","(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase"
"475","(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase"
"476","Isocitrate:NAD+ oxidoreductase (decarboxylating)"
"477","Acetaldehyde:NAD+ oxidoreductase"
"478","Acetaldehyde:NADP+ oxidoreductase"
"479","Succinate-semialdehyde:NAD+ oxidoreductase"
"480","Succinate-semialdehyde:NADP+ oxidoreductase"
"481","N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)"
